Song ID,Token ID,Term Frequency,Inverse Document Frequency,TF-IDF
13,no,3,1.0986122886681098,3.295836866004329
14,no,3,1.0986122886681098,3.295836866004329
4,ago,2,2.70805020110221,5.41610040220442
4,mistake,1,2.0149030205422647,2.0149030205422647
8,mistake,2,2.0149030205422647,4.029806041084529
5,mind,2,1.0986122886681098,2.1972245773362196
7,mind,1,1.0986122886681098,1.0986122886681098
10,mind,1,1.0986122886681098,1.0986122886681098
11,mind,2,1.0986122886681098,2.1972245773362196
14,mind,2,1.0986122886681098,2.1972245773362196
5,superman,4,2.70805020110221,10.83220080440884
5,head,1,1.6094379124341003,1.6094379124341003
6,head,1,1.6094379124341003,1.6094379124341003
7,head,5,1.6094379124341003,8.047189562170502
6,right,7,0.7621400520468967,5.334980364328277
7,right,3,0.7621400520468967,2.2864201561406903
8,right,1,0.7621400520468967,0.7621400520468967
10,right,8,0.7621400520468967,6.097120416375174
11,right,1,0.7621400520468967,0.7621400520468967
14,right,1,0.7621400520468967,0.7621400520468967
15,right,6,0.7621400520468967,4.5728403122813805
6,scared,1,2.0149030205422647,2.0149030205422647
15,scared,6,2.0149030205422647,12.089418123253587
6,swirls,1,2.70805020110221,2.70805020110221
6,two,1,2.70805020110221,2.70805020110221
6,mommys,2,2.70805020110221,5.41610040220442
6,bum,1,2.70805020110221,2.70805020110221
6,habit,1,2.70805020110221,2.70805020110221
6,trips,1,2.70805020110221,2.70805020110221
7,led,2,2.70805020110221,5.41610040220442
7,weve,2,2.0149030205422647,4.029806041084529
12,weve,1,2.0149030205422647,2.0149030205422647
7,mock,1,2.70805020110221,2.70805020110221
7,king,4,2.70805020110221,10.83220080440884
7,cash,1,2.70805020110221,2.70805020110221
7,send,1,2.70805020110221,2.70805020110221
7,frontier,1,2.70805020110221,2.70805020110221
7,tom,1,2.70805020110221,2.70805020110221
7,rather,1,2.70805020110221,2.70805020110221
7,slim,1,2.70805020110221,2.70805020110221
7,mystery,2,2.70805020110221,5.41610040220442
7,reverend,1,2.70805020110221,2.70805020110221
7,worry,1,2.70805020110221,2.70805020110221
7,therell,1,2.70805020110221,2.70805020110221
7,moonlight,1,2.70805020110221,2.70805020110221
8,shoes,1,2.70805020110221,2.70805020110221
9,jeans,2,2.70805020110221,5.41610040220442
10,run,20,2.70805020110221,54.1610040220442
11,everywhere,1,2.70805020110221,2.70805020110221
1,you,16,0.06899287148695142,1.1038859437912227
2,you,1,0.06899287148695142,0.06899287148695142
3,you,15,0.06899287148695142,1.0348930723042713
4,you,6,0.06899287148695142,0.4139572289217085
5,you,20,0.06899287148695142,1.3798574297390285
6,you,39,0.06899287148695142,2.6907219879911053
7,you,19,0.06899287148695142,1.310864558252077
8,you,18,0.06899287148695142,1.2418716867651256
9,you,17,0.06899287148695142,1.1728788152781742
10,you,20,0.06899287148695142,1.3798574297390285
12,you,28,0.06899287148695142,1.9318004016346397
13,you,1,0.06899287148695142,0.06899287148695142
14,you,9,0.06899287148695142,0.6209358433825628
15,you,14,0.06899287148695142,0.9659002008173199
1,lights,1,2.70805020110221,2.70805020110221
2,and,4,0.14310084364067324,0.572403374562693
3,and,2,0.14310084364067324,0.2862016872813465
4,and,11,0.14310084364067324,1.5741092800474057
5,and,7,0.14310084364067324,1.0017059054847126
6,and,34,0.14310084364067324,4.86542868378289
7,and,37,0.14310084364067324,5.29473121470491
8,and,5,0.14310084364067324,0.7155042182033662
9,and,8,0.14310084364067324,1.144806749125386
10,and,1,0.14310084364067324,0.14310084364067324
11,and,10,0.14310084364067324,1.4310084364067324
12,and,9,0.14310084364067324,1.2879075927660593
14,and,4,0.14310084364067324,0.572403374562693
15,and,6,0.14310084364067324,0.8586050618440395
2,rolls,1,2.70805020110221,2.70805020110221
2,darkness,1,1.6094379124341003,1.6094379124341003
7,darkness,1,1.6094379124341003,1.6094379124341003
15,darkness,2,1.6094379124341003,3.2188758248682006
3,done,4,1.6094379124341003,6.437751649736401
4,done,2,1.6094379124341003,3.2188758248682006
7,done,1,1.6094379124341003,1.6094379124341003
3,side,5,1.6094379124341003,8.047189562170502
5,side,6,1.6094379124341003,9.656627474604601
6,side,1,1.6094379124341003,1.6094379124341003
4,ahead,2,2.70805020110221,5.41610040220442
4,tops,3,2.70805020110221,8.12415060330663
4,write,3,2.0149030205422647,6.0447090616267936
7,write,1,2.0149030205422647,2.0149030205422647
